Data;TxDesempPopActiva
01/11/2017;8,3
01/10/2017;8,5
01/09/2017;8,5
01/08/2017;8,6
01/07/2017;8,5
01/06/2017;8,7
01/05/2017;9
01/04/2017;9,5
01/03/2017;10
01/02/2017;10,2
01/01/2017;10,4
01/12/2016;10,4
01/11/2016;10,6
01/10/2016;10,7
01/09/2016;10,8
01/08/2016;10,7
01/07/2016;10,5
01/06/2016;10,6
01/05/2016;11
01/04/2016;11,6
01/03/2016;12,2
01/02/2016;12,6
01/01/2016;12,4
01/12/2015;12,4
01/11/2015;12,4
01/10/2015;12,5
01/09/2015;12,4
01/08/2015;12,1
01/07/2015;11,8
01/06/2015;11,9
01/05/2015;12,1
01/04/2015;12,9
01/03/2015;13,4
01/02/2015;13,9
01/01/2015;14,1
01/12/2014;13,9
01/11/2014;13,6
01/10/2014;13,6
01/09/2014;13,3
01/08/2014;13,3
01/07/2014;13,7
01/06/2014;13,8
01/05/2014;14,1
01/04/2014;14,6
01/03/2014;15
01/02/2014;15,3
01/01/2014;15,3
01/12/2013;15,4
01/11/2013;15,5
01/10/2013;15,7
01/09/2013;15,7
01/08/2013;15,8
01/07/2013;16,2
01/06/2013;16,1
01/05/2013;16,7
01/04/2013;17,1
01/03/2013;17,6
01/02/2013;17,8
01/01/2013;17,9
01/12/2012;17,6
01/11/2012;17,1
01/10/2012;16,8
01/09/2012;16,2
01/08/2012;15,9
01/07/2012;15,2
01/06/2012;15
01/05/2012;15,1
01/04/2012;15,5
01/03/2012;15,3
01/02/2012;15
01/01/2012;14,7
01/12/2011;14,7
01/11/2011;14,1
01/10/2011;13,6
01/09/2011;13,2
01/08/2011;12,6
01/07/2011;12
01/06/2011;11,9
01/05/2011;12,3
01/04/2011;12,4
01/03/2011;12,7
01/02/2011;12,6
01/01/2011;12,5
01/12/2010;12,4
01/11/2010;12,3
01/10/2010;12,1
01/09/2010;12,2
01/08/2010;12,2
01/07/2010;11,9
01/06/2010;11,9
01/05/2010;11,8
01/04/2010;11,9
01/03/2010;11,8
01/02/2010;11,8
01/01/2010;11,5
01/12/2009;11,5
01/11/2009;11,3
01/10/2009;11,4
01/09/2009;11,3
01/08/2009;11,1
01/07/2009;10,6
01/06/2009;10,4
01/05/2009;10,3
01/04/2009;10,3
01/03/2009;10,2
01/02/2009;10
01/01/2009;9,8
01/12/2008;9,5
01/11/2008;9
01/10/2008;9
01/09/2008;9
01/08/2008;8,8
01/07/2008;8,4
01/06/2008;8,4
01/05/2008;8,4
01/04/2008;8,5
01/03/2008;8,8
01/02/2008;8,8
01/01/2008;8,8
01/12/2007;8,9
01/11/2007;9
01/10/2007;9,1
01/09/2007;9
01/08/2007;9
01/07/2007;8,9
01/06/2007;8,8
01/05/2007;9
01/04/2007;9,4
01/03/2007;9,4
01/02/2007;9,6
01/01/2007;9,5
01/12/2006;9,4
01/11/2006;9,4
01/10/2006;9,4
01/09/2006;9,2
01/08/2006;8,6
01/07/2006;8,5
01/06/2006;8,3
01/05/2006;8,4
01/04/2006;8,6
01/03/2006;8,8
01/02/2006;8,9
01/01/2006;8,9
01/12/2005;9
01/11/2005;9,1
01/10/2005;9,2
01/09/2005;9,1
01/08/2005;8,9
01/07/2005;8,7
01/06/2005;8,4
01/05/2005;8,4
01/04/2005;8,6
01/03/2005;8,6
01/02/2005;8,7
01/01/2005;8,5
01/12/2004;8,4
01/11/2004;8,2
01/10/2004;8,2
01/09/2004;8,2
01/08/2004;8
01/07/2004;7,5
01/06/2004;7,5
01/05/2004;7,5
01/04/2004;7,4
01/03/2004;7,4
01/02/2004;7,5
01/01/2004;7,4
01/12/2003;7,5
01/11/2003;7,6
01/10/2003;7,7
01/09/2003;7,5
01/08/2003;7,3
01/07/2003;7,1
01/06/2003;7,2
01/05/2003;7,3
01/04/2003;7,3
01/03/2003;7,4
01/02/2003;7,5
01/01/2003;7,4
01/12/2002;7,3
01/11/2002;7,2
01/10/2002;7
01/09/2002;6,6
01/08/2002;6,2
01/07/2002;6
01/06/2002;5,8
01/05/2002;5,6
01/04/2002;5,5
01/03/2002;5,5
01/02/2002;5,5
01/01/2002;5,5
01/12/2001;5,3
01/11/2001;5,2
01/10/2001;5,3
01/09/2001;5,2
01/08/2001;5,1
01/07/2001;5
01/06/2001;4,9
01/05/2001;5
01/04/2001;5,1
01/03/2001;5,2
01/02/2001;5,3
01/01/2001;5
01/12/2000;5
01/11/2000;4,8
01/10/2000;5,1
01/09/2000;5,2
01/08/2000;5,1
01/07/2000;4,8
01/06/2000;4,7
01/05/2000;4,9
01/04/2000;5
01/03/2000;5,2
01/02/2000;5,5
01/01/2000;5,6
01/12/1999;5,5
01/11/1999;5,3
01/10/1999;5,3
01/09/1999;5,5
01/08/1999;5,4
01/07/1999;5,3
01/06/1999;5,4
01/05/1999;5,6
01/04/1999;5,8
01/03/1999;5,8
01/02/1999;5,9
01/01/1999;5,8
01/12/1998;5,8
01/11/1998;5,9
01/10/1998;5,7
01/09/1998;5,8
01/08/1998;5,8
01/07/1998;5,8
01/06/1998;5,8
01/05/1998;5,7
01/04/1998;6,2
01/03/1998;6,6
01/02/1998;7
